"Time (EpSec)","Azimuth (deg)","Elevation (deg)","Range (km)"
0.443,120.10391312,-0.29993469,6.327613
0.600,120.10393423,-0.28539715,6.327607
0.800,120.10396852,-0.26046379,6.327599
1.000,120.10401068,-0.22837896,6.327590
1.200,120.10406022,-0.18912905,6.327582
1.400,120.10411645,-0.14270052,6.327578
1.600,120.10417859,-0.08907985,6.327578
1.800,120.10424568,-0.02825364,6.327586
2.000,120.10431661,0.03979142,6.327604
2.200,120.10439014,0.11506848,6.327635
2.400,120.10446488,0.19759053,6.327683
2.600,120.10453928,0.28737031,6.327751
2.800,120.10461166,0.38442031,6.327844
3.000,120.10468016,0.48875271,6.327966
3.200,120.10474279,0.60037929,6.328122
3.400,120.10479742,0.71931142,6.328317
3.600,120.10484175,0.84555997,6.328557
3.800,120.10487334,0.97913526,6.328847
4.000,120.10488958,1.12004695,6.329193
4.200,120.10488772,1.26830402,6.329603
4.400,120.10486487,1.42391465,6.330082
4.600,120.10481796,1.58688613,6.330639
4.800,120.10474378,1.75722482,6.331281
5.000,120.10463896,1.93493598,6.332016
5.200,120.10449999,2.12002374,6.332852
5.400,120.10432316,2.31249095,6.333798
5.600,120.10410466,2.51233912,6.334864
5.800,120.10384049,2.71956825,6.336057
6.000,120.10352648,2.93417677,6.337389
6.200,120.10315833,3.15616139,6.338870
6.400,120.10273156,3.38551697,6.340509
6.600,120.10224155,3.62223644,6.342319
6.800,120.10168350,3.86631060,6.344309
7.000,120.10105245,4.11772807,6.346492
7.200,120.10034329,4.37647507,6.348880
7.400,120.09955075,4.64253535,6.351484
7.600,120.09866937,4.91589001,6.354318
7.800,120.09769357,5.19651738,6.357394
8.000,120.09661756,5.48439286,6.360727
8.200,120.09543542,5.77948878,6.364328
8.400,120.09414105,6.08177427,6.368213
8.600,120.09272820,6.39121508,6.372396
8.800,120.09119044,6.70777349,6.376891
9.000,120.08952117,7.03140809,6.381714
9.200,120.08771365,7.36207373,6.386879
9.400,120.08576095,7.69972130,6.392403
9.600,120.08365598,8.04429761,6.398300
9.800,120.08139150,8.39574531,6.404588
10.000,120.07896009,8.75400268,6.411283
10.200,120.07635416,9.11900355,6.418401
10.400,120.07356596,9.49067720,6.425959
10.600,120.07058759,9.86894818,6.433976
10.800,120.06741095,10.25373628,6.442467
11.000,120.06402782,10.64495638,6.451451
11.200,120.06042978,11.04251837,6.460946
11.400,120.05660826,11.44632709,6.470969
11.600,120.05255453,11.85628224,6.481540
11.800,120.04825969,12.27227833,6.492676
12.000,120.04371469,12.69420465,6.504397
12.200,120.03891030,13.12194519,6.516720
12.400,120.03383715,13.55537866,6.529665
12.600,120.02848570,13.99437849,6.543251
12.800,120.02284625,14.43881280,6.557497
13.000,120.01690897,14.88854446,6.572422
13.200,120.01066383,15.34343109,6.588045
13.400,120.00410068,15.80332518,6.604386
13.600,119.99720921,16.26807409,6.621463
13.800,119.98997897,16.73752017,6.639297
14.000,119.98239934,17.21150090,6.657906
14.200,119.97445957,17.68984896,6.677309
14.400,119.96614876,18.17239238,6.697525
14.600,119.95745588,18.65895473,6.718575
14.800,119.94836974,19.14935529,6.740475
15.000,119.93887903,19.64340919,6.763247
15.200,119.92897230,20.14092770,6.786907
15.400,119.91863798,20.64171837,6.811475
15.600,119.90786436,21.14558535,6.836969
15.800,119.89663961,21.65232959,6.863407
16.000,119.88495178,22.16174911,6.890807
16.200,119.87278881,22.67363931,6.919187
16.400,119.86013850,23.18779325,6.948564
16.600,119.84698858,23.70400195,6.978955
16.800,119.83332665,24.22205469,7.010377
17.000,119.81914020,24.74173935,7.042848
17.200,119.80441666,25.26284275,7.076382
17.400,119.78914333,25.78515095,7.110996
17.600,119.77330744,26.30844961,7.146705
17.800,119.75689615,26.83252432,7.183525
18.000,119.73989653,27.35716094,7.221470
18.200,119.72229557,27.88214597,7.260555
18.400,119.70408022,28.40726685,7.300794
18.600,119.68523735,28.93231232,7.342201
18.800,119.66575379,29.45707274,7.384788
19.000,119.64561632,29.98134041,7.428568
19.200,119.62481167,30.50490993,7.473554
19.400,119.60332657,31.02757844,7.519758
19.600,119.58114767,31.54914598,7.567190
19.800,119.55826166,32.06941575,7.615863
20.000,119.53465518,32.58819438,7.665786
20.200,119.51031479,33.10529151,7.716970
20.400,119.48522723,33.62052214,7.769425
20.600,119.45937917,34.13370477,7.823158
20.800,119.43275729,34.64466228,7.878181
21.000,119.40534832,35.15322216,7.934499
21.200,119.37713900,35.65921667,7.992123
21.400,119.34811614,36.16248306,8.051058
21.600,119.31826659,36.66286366,8.111312
21.800,119.28757727,37.16020604,8.172892
22.000,119.25603519,37.65436316,8.235804
22.200,119.22362743,38.14519340,8.300053
22.400,119.19034115,38.63256071,8.365644
22.600,119.15616365,39.11633463,8.432584
22.800,119.12108231,39.59639037,8.500875
23.000,119.08508466,40.07260880,8.570523
23.200,119.04815835,40.54487653,8.641532
23.400,119.01029119,41.01308586,8.713903
23.600,118.97147113,41.47713479,8.787642
23.800,118.93168630,41.93692700,8.862750
24.000,118.89092502,42.39237180,8.939230
24.200,118.84917576,42.84338407,9.017084
24.400,118.80642725,43.28988423,9.096314
24.600,118.76266838,43.73179813,9.176922
24.800,118.71788830,44.16905699,9.258907
25.000,118.67207637,44.60159732,9.342272
25.200,118.62522255,45.02936053,9.427018
25.400,118.57731638,45.45229360,9.513143
25.600,118.52834802,45.87034820,9.600650
25.800,118.47830790,46.28348083,9.689537
26.000,118.42718675,46.69165266,9.779805
26.200,118.37497559,47.09482947,9.871453
26.400,118.32166579,47.49298143,9.964481
26.600,118.26724904,47.88608301,10.058886
26.800,118.21171735,48.27411285,10.154670
27.000,118.15506310,48.65705355,10.251830
27.200,118.09727905,49.03489162,10.350365
27.400,118.03835832,49.40761726,10.450273
