                                                         27 Feb 2020 11:34:09
Sensor-FOV


 Name       Start Time (UTCG)           Stop Time (UTCG)       Duration (sec)
-----    -----------------------    -----------------------    --------------
00813    3 Dec 2019 04:03:30.060    3 Dec 2019 04:05:00.000            89.940
00814    3 Dec 2019 04:01:08.116    3 Dec 2019 04:05:00.000           231.884
00815    3 Dec 2019 04:00:00.000    3 Dec 2019 04:04:26.306           266.306
00816    3 Dec 2019 04:00:00.000    3 Dec 2019 04:02:17.491           137.491
00817    3 Dec 2019 04:00:00.000    3 Dec 2019 04:00:08.210             8.210
00861    3 Dec 2019 04:04:58.157    3 Dec 2019 04:05:00.000             1.843
00862    3 Dec 2019 04:02:40.892    3 Dec 2019 04:05:00.000           139.108
00863    3 Dec 2019 04:00:23.756    3 Dec 2019 04:05:00.000           276.244
00864    3 Dec 2019 04:00:00.000    3 Dec 2019 04:05:00.000           300.000
00865    3 Dec 2019 04:00:00.000    3 Dec 2019 04:03:44.223           224.223
00866    3 Dec 2019 04:00:00.000    3 Dec 2019 04:01:29.793            89.793
00911    3 Dec 2019 04:02:46.773    3 Dec 2019 04:05:00.000           133.227
00912    3 Dec 2019 04:00:31.190    3 Dec 2019 04:05:00.000           268.810
00913    3 Dec 2019 04:00:00.000    3 Dec 2019 04:05:00.000           300.000
00914    3 Dec 2019 04:00:00.000    3 Dec 2019 04:03:58.776           238.776
00915    3 Dec 2019 04:00:00.000    3 Dec 2019 04:01:41.498           101.498
00960    3 Dec 2019 04:03:14.060    3 Dec 2019 04:05:00.000           105.940
00961    3 Dec 2019 04:00:59.314    3 Dec 2019 04:05:00.000           240.686
00962    3 Dec 2019 04:00:00.000    3 Dec 2019 04:05:00.000           300.000
00963    3 Dec 2019 04:00:00.000    3 Dec 2019 04:03:22.825           202.825
00964    3 Dec 2019 04:00:00.000    3 Dec 2019 04:01:03.304            63.304
01009    3 Dec 2019 04:03:55.325    3 Dec 2019 04:05:00.000            64.675
01010    3 Dec 2019 04:01:41.130    3 Dec 2019 04:05:00.000           198.870
01011    3 Dec 2019 04:00:00.000    3 Dec 2019 04:04:30.236           270.236
01012    3 Dec 2019 04:00:00.000    3 Dec 2019 04:02:08.970           128.970
01058    3 Dec 2019 04:04:47.201    3 Dec 2019 04:05:00.000            12.799
01059    3 Dec 2019 04:02:33.884    3 Dec 2019 04:05:00.000           146.116
01060    3 Dec 2019 04:00:20.690    3 Dec 2019 04:02:41.540           140.850
01061    3 Dec 2019 04:00:00.000    3 Dec 2019 04:00:18.239            18.239
01156    3 Dec 2019 04:04:12.986    3 Dec 2019 04:05:00.000            47.014
01157    3 Dec 2019 04:01:48.969    3 Dec 2019 04:03:35.489           106.520
01158    3 Dec 2019 04:00:00.000    3 Dec 2019 04:01:22.739            82.739
01204    3 Dec 2019 04:04:38.573    3 Dec 2019 04:05:00.000            21.427
01205    3 Dec 2019 04:02:16.961    3 Dec 2019 04:05:00.000           163.039
01206    3 Dec 2019 04:00:00.000    3 Dec 2019 04:04:33.944           273.944
01207    3 Dec 2019 04:00:00.000    3 Dec 2019 04:02:19.811           139.811
01208    3 Dec 2019 04:00:00.000    3 Dec 2019 04:00:05.655             5.655
01253    3 Dec 2019 04:03:14.958    3 Dec 2019 04:05:00.000           105.042
01254    3 Dec 2019 04:00:55.113    3 Dec 2019 04:05:00.000           244.887
01255    3 Dec 2019 04:00:00.000    3 Dec 2019 04:05:00.000           300.000
01256    3 Dec 2019 04:00:00.000    3 Dec 2019 04:03:02.621           182.621
01257    3 Dec 2019 04:00:00.000    3 Dec 2019 04:00:47.934            47.934
01301    3 Dec 2019 04:04:48.933    3 Dec 2019 04:05:00.000            11.067
01302    3 Dec 2019 04:02:31.092    3 Dec 2019 04:05:00.000           148.908
01303    3 Dec 2019 04:00:13.371    3 Dec 2019 04:05:00.000           286.629
01304    3 Dec 2019 04:00:00.000    3 Dec 2019 04:05:00.000           300.000
01305    3 Dec 2019 04:00:00.000    3 Dec 2019 04:03:34.300           214.300
01306    3 Dec 2019 04:00:00.000    3 Dec 2019 04:01:18.866            78.866
01350    3 Dec 2019 04:04:47.605    3 Dec 2019 04:05:00.000            12.395
01351    3 Dec 2019 04:02:32.439    3 Dec 2019 04:05:00.000           147.561
01352    3 Dec 2019 04:00:17.436    3 Dec 2019 04:05:00.000           282.564
01353    3 Dec 2019 04:00:00.000    3 Dec 2019 04:05:00.000           300.000
01354    3 Dec 2019 04:00:00.000    3 Dec 2019 04:03:45.398           225.398
01355    3 Dec 2019 04:00:00.000    3 Dec 2019 04:01:28.591            88.591
01400    3 Dec 2019 04:03:39.109    3 Dec 2019 04:05:00.000            80.891
01401    3 Dec 2019 04:01:28.447    3 Dec 2019 04:05:00.000           211.553
01402    3 Dec 2019 04:00:00.000    3 Dec 2019 04:05:00.000           300.000
01403    3 Dec 2019 04:00:00.000    3 Dec 2019 04:03:15.999           195.999
01404    3 Dec 2019 04:00:00.000    3 Dec 2019 04:00:55.587            55.587
02369    3 Dec 2019 04:04:21.928    3 Dec 2019 04:05:00.000            38.072
02370    3 Dec 2019 04:01:34.943    3 Dec 2019 04:03:36.387           121.443
02371    3 Dec 2019 04:00:00.000    3 Dec 2019 04:01:43.205           103.205
02417    3 Dec 2019 04:04:16.201    3 Dec 2019 04:05:00.000            43.799
02418    3 Dec 2019 04:01:58.908    3 Dec 2019 04:05:00.000           181.092
02419    3 Dec 2019 04:00:00.000    3 Dec 2019 04:05:00.000           300.000
02420    3 Dec 2019 04:00:00.000    3 Dec 2019 04:04:28.669           268.669
02421    3 Dec 2019 04:00:00.000    3 Dec 2019 04:02:17.266           137.266
02422    3 Dec 2019 04:00:00.000    3 Dec 2019 04:00:05.633             5.633
02466    3 Dec 2019 04:04:05.897    3 Dec 2019 04:05:00.000            54.103
02467    3 Dec 2019 04:01:51.061    3 Dec 2019 04:05:00.000           188.939
02468    3 Dec 2019 04:00:00.000    3 Dec 2019 04:05:00.000           300.000
02469    3 Dec 2019 04:00:00.000    3 Dec 2019 04:05:00.000           300.000
