                                                         22 Jun 2020 01:21:05
Place-MidPoint


 Name       Start Time (UTCG)           Stop Time (UTCG)       Duration (sec)
-----    -----------------------    -----------------------    --------------
00621    3 Dec 2019 00:09:22.326    3 Dec 2019 00:10:00.000            37.674
00622    3 Dec 2019 00:06:53.732    3 Dec 2019 00:10:00.000           186.268
00623    3 Dec 2019 00:04:26.331    3 Dec 2019 00:10:00.000           333.669
00624    3 Dec 2019 00:01:59.909    3 Dec 2019 00:10:00.000           480.091
00625    3 Dec 2019 00:00:00.000    3 Dec 2019 00:09:13.592           553.592
00626    3 Dec 2019 00:00:00.000    3 Dec 2019 00:07:12.938           432.938
00627    3 Dec 2019 00:00:00.000    3 Dec 2019 00:05:11.570           311.570
00628    3 Dec 2019 00:00:00.000    3 Dec 2019 00:03:09.578           189.578
00629    3 Dec 2019 00:00:00.000    3 Dec 2019 00:01:07.008            67.008
00669    3 Dec 2019 00:09:38.284    3 Dec 2019 00:10:00.000            21.716
00670    3 Dec 2019 00:07:18.577    3 Dec 2019 00:10:00.000           161.423
00671    3 Dec 2019 00:04:59.050    3 Dec 2019 00:10:00.000           300.950
00672    3 Dec 2019 00:02:39.698    3 Dec 2019 00:10:00.000           440.302
00673    3 Dec 2019 00:00:20.507    3 Dec 2019 00:10:00.000           579.493
00674    3 Dec 2019 00:00:00.000    3 Dec 2019 00:10:00.000           600.000
00675    3 Dec 2019 00:00:00.000    3 Dec 2019 00:10:00.000           600.000
00676    3 Dec 2019 00:00:00.000    3 Dec 2019 00:08:45.927           525.927
00677    3 Dec 2019 00:00:00.000    3 Dec 2019 00:06:37.522           397.522
00678    3 Dec 2019 00:00:00.000    3 Dec 2019 00:04:28.920           268.920
00679    3 Dec 2019 00:00:00.000    3 Dec 2019 00:02:20.138           140.138
00680    3 Dec 2019 00:00:00.000    3 Dec 2019 00:00:11.175            11.175
00718    3 Dec 2019 00:09:02.427    3 Dec 2019 00:10:00.000            57.573
00719    3 Dec 2019 00:06:44.994    3 Dec 2019 00:10:00.000           195.006
00720    3 Dec 2019 00:04:27.624    3 Dec 2019 00:10:00.000           332.376
00721    3 Dec 2019 00:02:10.329    3 Dec 2019 00:10:00.000           469.671
00722    3 Dec 2019 00:00:00.000    3 Dec 2019 00:10:00.000           600.000
00723    3 Dec 2019 00:00:00.000    3 Dec 2019 00:10:00.000           600.000
00724    3 Dec 2019 00:00:00.000    3 Dec 2019 00:10:00.000           600.000
00725    3 Dec 2019 00:00:00.000    3 Dec 2019 00:10:00.000           600.000
00726    3 Dec 2019 00:00:00.000    3 Dec 2019 00:08:44.986           524.986
00727    3 Dec 2019 00:00:00.000    3 Dec 2019 00:06:33.559           393.559
00728    3 Dec 2019 00:00:00.000    3 Dec 2019 00:04:22.015           262.015
00729    3 Dec 2019 00:00:00.000    3 Dec 2019 00:02:10.352           130.352
00767    3 Dec 2019 00:08:54.893    3 Dec 2019 00:10:00.000            65.107
00768    3 Dec 2019 00:06:38.396    3 Dec 2019 00:10:00.000           201.604
00769    3 Dec 2019 00:04:21.917    3 Dec 2019 00:10:00.000           338.083
00770    3 Dec 2019 00:02:05.475    3 Dec 2019 00:10:00.000           474.525
00771    3 Dec 2019 00:00:00.000    3 Dec 2019 00:10:00.000           600.000
00772    3 Dec 2019 00:00:00.000    3 Dec 2019 00:10:00.000           600.000
00773    3 Dec 2019 00:00:00.000    3 Dec 2019 00:10:00.000           600.000
00774    3 Dec 2019 00:00:00.000    3 Dec 2019 00:10:00.000           600.000
00775    3 Dec 2019 00:00:00.000    3 Dec 2019 00:10:00.000           600.000
00776    3 Dec 2019 00:00:00.000    3 Dec 2019 00:07:53.059           473.059
00777    3 Dec 2019 00:00:00.000    3 Dec 2019 00:05:39.607           339.607
00778    3 Dec 2019 00:00:00.000    3 Dec 2019 00:03:26.076           206.076
00779    3 Dec 2019 00:00:00.000    3 Dec 2019 00:01:12.463            72.463
00816    3 Dec 2019 00:09:00.813    3 Dec 2019 00:10:00.000            59.187
