Time,Lat,Lon,Alt,Value
0.000,-90,0,0,2
0.000,-80,30,0,1
0.000,-80,90,0,3
0.000,-80,150,0,3
0.000,-80,210,0,3
0.000,-80,270,0,1
0.000,-80,330,0,0
0.000,-70,10,0,0
0.000,-70,30,0,0
0.000,-70,50,0,1
0.000,-70,70,0,1
0.000,-70,90,0,3
0.000,-70,110,0,3
0.000,-70,130,0,4
0.000,-70,150,0,3
0.000,-70,170,0,3
0.000,-70,190,0,3
0.000,-70,210,0,2
0.000,-70,230,0,1
0.000,-70,250,0,1
0.000,-70,270,0,0
0.000,-70,290,0,0
0.000,-70,310,0,0
0.000,-70,330,0,0
0.000,-70,350,0,0
0.000,-60,10,0,1
0.000,-60,30,0,1
0.000,-60,50,0,1
0.000,-60,70,0,1
0.000,-60,90,0,1
0.000,-60,110,0,1
0.000,-60,130,0,1
0.000,-60,150,0,2
0.000,-60,170,0,1
0.000,-60,190,0,1
0.000,-60,210,0,1
0.000,-60,230,0,1
0.000,-60,250,0,1
0.000,-60,270,0,0
0.000,-60,290,0,0
0.000,-60,310,0,0
0.000,-60,330,0,0
0.000,-60,350,0,0
0.000,-50,10,0,1
0.000,-50,30,0,1
0.000,-50,50,0,1
0.000,-50,70,0,0
0.000,-50,90,0,1
0.000,-50,110,0,1
0.000,-50,130,0,0
0.000,-50,150,0,0
0.000,-50,170,0,0
0.000,-50,190,0,0
0.000,-50,210,0,1
0.000,-50,230,0,1
0.000,-50,250,0,1
0.000,-50,270,0,0
0.000,-50,290,0,1
0.000,-50,310,0,2
0.000,-50,330,0,1
0.000,-50,350,0,0
0.000,-40,6,0,1
0.000,-40,18,0,2
0.000,-40,30,0,1
0.000,-40,42,0,1
0.000,-40,54,0,0
0.000,-40,66,0,0
0.000,-40,78,0,0
0.000,-40,90,0,0
0.000,-40,102,0,0
0.000,-40,114,0,0
0.000,-40,126,0,0
0.000,-40,138,0,0
0.000,-40,150,0,0
0.000,-40,162,0,0
0.000,-40,174,0,0
0.000,-40,186,0,0
0.000,-40,198,0,0
0.000,-40,210,0,0
0.000,-40,222,0,1
0.000,-40,234,0,1
0.000,-40,246,0,0
0.000,-40,258,0,0
0.000,-40,270,0,0
0.000,-40,282,0,1
0.000,-40,294,0,1
0.000,-40,306,0,2
0.000,-40,318,0,2
0.000,-40,330,0,1
0.000,-40,342,0,0
0.000,-40,354,0,1
0.000,-30,6,0,1
0.000,-30,18,0,1
0.000,-30,30,0,0
0.000,-30,42,0,0
0.000,-30,54,0,0
0.000,-30,66,0,0
0.000,-30,78,0,1
0.000,-30,90,0,0
0.000,-30,102,0,0
0.000,-30,114,0,0
0.000,-30,126,0,0
0.000,-30,138,0,0
0.000,-30,150,0,0
0.000,-30,162,0,0
0.000,-30,174,0,0
0.000,-30,186,0,0
0.000,-30,198,0,0
0.000,-30,210,0,0
0.000,-30,222,0,0
0.000,-30,234,0,1
0.000,-30,246,0,1
0.000,-30,258,0,1
0.000,-30,270,0,0
0.000,-30,282,0,0
0.000,-30,294,0,1
0.000,-30,306,0,2
0.000,-30,318,0,1
0.000,-30,330,0,1
0.000,-30,342,0,0
0.000,-30,354,0,1
0.000,-20,6,0,1
0.000,-20,18,0,1
0.000,-20,30,0,0
0.000,-20,42,0,0
0.000,-20,54,0,0
0.000,-20,66,0,1
0.000,-20,78,0,1
0.000,-20,90,0,1
0.000,-20,102,0,0
0.000,-20,114,0,0
0.000,-20,126,0,0
0.000,-20,138,0,0
0.000,-20,150,0,0
0.000,-20,162,0,0
